Pattern	Freq	Wrong	Accuracy
cortana send message to <contact_name> that	1	0	1.0
cortana send message to <contact_name> <source_platform>	1	1	0.0
cortana send message to <contact_name> to her that <message>	1	0	1.0
cortana send message to my <order_ref> meeting. <message>	1	0	1.0
cortana send message to <contact_name> . tell her that <message>	1	0	1.0
cortana send message to <contact_name> about <message>	1	0	1.0
cortana send message to <contact_name> <destination_platform>	1	1	0.0
cortana send message to <message>	1	0	1.0
cortana send message to the meeting i have at <time>	1	1	0.0
cortana send message to the meeting with <contact_name>	1	0	1.0
cortana send message to the meeting. i have on <time>	1	1	0.0
cortana send message to the meeting. i have on wednesday at <time>	1	1	0.0
cortana send message to <contact_name> to him. / <message>	1	1	0.0
cortana send message to <meeting_title>	1	1	0.0
cortana send message to <contact_name> from <source_platform>	1	1	0.0
cortana send my <relationship_name> message	1	1	0.0
cortana send <contact_name> send a message	1	1	0.0
cortana send send a message to <contact_name>	1	0	1.0
cortana send <contact_name> a text message	1	0	1.0
cortana send sms <contact_name>	1	1	0.0
cortana send <source_platform> message to <contact_name>	1	0	1.0
cortana send <contact_name> message <message>	1	0	1.0
cortana send text to <contact_name> <message>	1	0	1.0
cortana send this to everybody	1	0	1.0
cortana sends a message to <contact_name>	1	0	1.0
cortana take a message to <contact_name>	1	1	0.0
cortana tell message	1	1	0.0
cortana tell my <time> meeting. <message>	1	1	0.0
cortana tell my <order_ref> meeting that <message>	1	1	0.0
cortana tell my <relationship_name> that <message>	1	0	1.0
cortana text <phone_number> <message>	1	0	1.0
cortana text <contact_name> and tell her <message> send	1	0	1.0
cortana text <contact_name> and tell her to <message>	1	0	1.0
cortana text <contact_name> <destination_platform> <message>	1	0	1.0
cortana text her she	1	0	1.0
cortana text <destination_platform> and tell <relationship_name> to <message>	1	1	0.0
cortana text <contact_name> that <message>	1	0	1.0
cortana text <contact_name> for me	1	0	1.0
cortana text <contact_name> and tell him <message>	1	0	1.0
cortana text <relationship_name> <destination_platform> <message>	1	0	1.0
cortana text my <relationship_name>	1	0	1.0
cortana text <message>	1	1	0.0
cortana text <contact_name> at	1	0	1.0
cortana text <contact_name> says <message>	1	1	0.0
cortana text that stuff	1	1	0.0
cortana text <relationship_name> <message>	1	0	1.0
cortana texte message	1	1	0.0
cortana try to call lady fella. tell her that i will be late	1	1	0.0
cortana will you text <contact_name> that <message>	1	0	1.0
cortana write a message to <contact_name>	1	0	1.0
cortana, can you send my <order_ref> meeting a message	1	1	0.0
cortana, <message> for my <order_ref> meeting	1	1	0.0
cortana, please send a text <contact_name>	1	0	1.0
cortana, please send a text to <contact_name>	1	0	1.0
cortana,text <contact_name>	1	1	0.0
cortana. hey cortana send message to <contact_name>	1	0	1.0
cortana. i&apos;d like to send a message to everyone on the meeting	1	0	1.0
cortana. i&apos;d like to send a message to <contact_name>	1	0	1.0
cortana. <message> to my <time> meeting	1	1	0.0
cortina could you send a text to a <contact_name>	1	0	1.0
cortina message <contact_name>	1	0	1.0
cortina send a text to <contact_name> <destination_platform> that says <message>	1	0	1.0
cortina text <contact_name> that <message>	1	0	1.0
cortina this is a message	1	1	0.0
cortini hey cortini send a message	1	1	0.0
could i send a text	1	0	1.0
could i send a text message	1	0	1.0
could you a send a message for me	1	0	1.0
could you help me to message	1	1	0.0
could you please send a text	1	0	1.0
could you please send a text message	1	0	1.0
could you please send message to <contact_name>	1	0	1.0
could you please tell my <relationship_name>	1	0	1.0
could you please tell <contact_name> that <message>	1	0	1.0
could you please text <contact_name> that <message>	1	0	1.0
could you send a <source_platform> message	1	0	1.0
could you send a message	1	0	1.0
could you send a message for me	1	0	1.0
could you send a message on <source_platform>	1	0	1.0
could you send a message through <source_platform>	1	0	1.0
could you send a message to	1	0	1.0
could you send a message to <contact_name> for me	1	1	0.0
could you send a message to someone	1	0	1.0
could you send a text	1	0	1.0
could you send a text for me	1	0	1.0
could you send a text message for me	1	0	1.0
could you send a text message for me please	1	0	1.0
could you send a text message to <contact_name>	1	0	1.0
could you send a text please	1	0	1.0
could you send an a text message	1	0	1.0
could you send an sms to my <relationship_name>	1	0	1.0
could you send me a message	1	0	1.0
could you send message for me	1	0	1.0
could you send message on <source_platform>	1	0	1.0
could you send messages	1	1	0.0
could you send sms	1	0	1.0
could you text	1	0	1.0
could you text for me	1	0	1.0
could you text <contact_name> for me	1	0	1.0
could you text message	1	0	1.0
could you text my <relationship_name> for me please	1	0	1.0
could you text people	1	0	1.0
could you text <contact_name>	1	0	1.0
could you text somebody	1	0	1.0
could you text somebody for me	1	0	1.0
could you text someone	1	0	1.0
could you text someone for me	1	0	1.0
could you text something for me	1	1	0.0
could you text <contact_name> and tell her <message>	1	0	1.0
could you type a message	1	0	1.0
could you write a message for me	1	0	1.0
create a text message	1	0	1.0
create a text message in	1	0	1.0
create a text to	1	0	1.0
create an text	1	0	1.0
create text to	1	0	1.0
<time> meeting message	1	0	1.0
<time> meeting that <message>	1	1	0.0
<contact_name> a message	1	0	1.0
<relationship_name> text	1	1	0.0
dictate a message	1	0	1.0
dictate dictate a message	1	0	1.0
dictate dictate text	1	0	1.0
dictate text on	1	1	0.0
did you send a message to <contact_name>	1	0	1.0
did you tell <contact_name> <message>	1	1	0.0
do text it	1	0	1.0
do you like to send a text to	1	1	0.0
do you send a message for me	1	1	0.0
do you send a message to my <relationship_name>	1	0	1.0
do you think you can send a message for me	1	1	0.0
done message	1	0	1.0
<contact_name> hey, cortana, send a message to <contact_name>	1	1	0.0
ease send a message	1	0	1.0
email my <order_ref> meeting group	1	1	0.0
email the attendees of <order_ref> meeting that <message>	1	1	0.0
enter a message	1	1	0.0
enter message to	1	0	1.0
enter message. enter message	1	0	1.0
essentially message	1	0	1.0
everyone is my <order_ref> meeting. <message>	1	1	0.0
everyone on my next meeting that <message>	1	1	0.0
<source_platform> message to <contact_name>	1	0	1.0
<contact_name> message text	1	1	0.0
fema text voice message	1	0	1.0
for king text <relationship_name>	1	1	0.0
for my <order_ref> meeting can you tell them <message>	1	1	0.0
for send a message	1	0	1.0
get here send a message to <contact_name>	1	0	1.0
get voice sms	1	1	0.0
get you send message to <contact_name>	1	0	1.0
give a message to <relationship_name>	1	0	1.0
give a message to <contact_name> and <contact_name>	1	0	1.0
give a text message	1	0	1.0
give <contact_name> a message	1	0	1.0
give her message	1	1	0.0
give <relationship_name> a message	1	1	0.0
give me a message from <from_contact_name>	1	1	0.0
give me a response message for <contact_name>	1	0	1.0
give me a text are	1	1	0.0
give me a text message	1	1	0.0
give me text <contact_name>	1	0	1.0
give message to <contact_name>	1	0	1.0
give <relationship_name> a text	1	0	1.0
go to kik go to <contact_name> chat and text <message>	1	1	0.0
go to meeting send a message	1	0	1.0
go to text messaging yeah	1	1	0.0
good morning cortana please send a message to my	1	0	1.0
have i missed any updates since last time we spoke	1	1	0.0
hello cortana can you send a message to <contact_name>	1	0	1.0
hello cortana message me	1	1	0.0
hello cortana messaging	1	1	0.0
hello cortana please send a text	1	0	1.0
hello cortana write a message to <contact_name>	1	0	1.0
hello cortana you can send me message in <source_platform>	1	1	0.0
hello i'm sending a message with cortana	1	1	0.0
hello send a message to <contact_name>	1	0	1.0
hello send message to <contact_name>	1	0	1.0
hey <relationship_name> <message>	1	1	0.0
hey can you send a text	1	0	1.0
hey can you send a text message	1	0	1.0
hey can you send message	1	0	1.0
hey can you text somebody for me	1	0	1.0
hey can you text something for me	1	1	0.0
hey catana send a message to <contact_name>	1	0	1.0
hey corona can you send a text to <contact_name> saying <message>	1	0	1.0
hey cortana and a message to <contact_name> <message>	1	1	0.0
hey cortana censos gra message	1	1	0.0
hey cortana hey cortana send a message	1	0	1.0
hey cortana hey cortana text <contact_name>	1	0	1.0
hey cortana hey send a message	1	0	1.0
hey cortana message <contact_name> on my next meeting	1	1	0.0
hey cortana message <contact_name> <message>	1	0	1.0
hey cortana message everyone on my <order_ref> meeting. <message>	1	0	1.0
hey cortana message everyone on the meeting. <message>	1	0	1.0
hey cortana message everyone on this <time> meeting	1	0	1.0
hey cortana message hey cortana	1	1	0.0
hey cortana message <contact_name> of <message>	1	0	1.0
hey cortana message <contact_name> to <message>	1	0	1.0
hey cortana message <contact_name> <relationship_name> <message>	1	1	0.0
hey cortana message <contact_name> that	1	0	1.0
hey cortana message <meeting_title> meeting. <message>	1	1	0.0
hey cortana message <relationship_name> <message>	1	1	0.0
hey cortana message me <time>	1	0	1.0
hey cortana message message. my <time> o&apos;clock meeting	1	0	1.0
hey cortana message my <time> o&apos;clock meet	1	0	1.0
hey cortana message my <time> o&apos;clock meeting that	1	0	1.0
hey cortana message my <time> meeting. <message> send	1	0	1.0
hey cortana message my create a meeting	1	1	0.0
hey cortana message my <time> meeting that this is <time> meeting message again	1	1	0.0
hey cortana message my new meeting	1	1	0.0
hey cortana message my <order_ref> meeting that	1	0	1.0
hey cortana message my <order_ref> meeting that this is <order_ref> meeting message	1	1	0.0
hey cortana message my <order_ref> meeting that this\ is <order_ref> meeting	1	1	0.0
hey cortana message my <order_ref> meeting that this\ is <order_ref> meeting message	1	1	0.0
hey cortana message my <meeting_title> meeting that <message>	1	1	0.0
hey cortana message that	1	1	0.0
hey cortana message the other one	1	0	1.0
hey cortana message this chat that	1	1	0.0
hey cortana message to <contact_name> that <message>	1	0	1.0
hey cortana message to <meeting_title> meeting	1	1	0.0
hey cortana message to my <order_ref> meeting. <message>	1	1	0.0
hey cortana message to our if a on my <order_ref> meeting <message>	1	0	1.0
hey cortana message. <message> my <order_ref> meeting	1	1	0.0
hey cortana reply back to <contact_name>	1	0	1.0
hey cortana reply to <time> o&apos;clock meeting <time>	1	0	1.0
hey cortana segaba message	1	0	1.0
hey cortana send a <contact_name> message	1	1	0.0
hey cortana send a message <time> meeting	1	0	1.0
hey cortana send a message for me	1	0	1.0
hey cortana send a message to <contact_name> &apos;s	1	0	1.0
hey cortana send a message to people for	1	0	1.0
hey cortana send a text message to <phone_number>	1	0	1.0
hey cortana send <contact_name> an message	1	1	0.0
hey cortana send all message	1	0	1.0
hey cortana send <contact_name> a message say	1	0	1.0
hey cortana send for pass a message	1	1	0.0
hey cortana send <contact_name> of we a message	1	0	1.0
hey cortana send it shots a message	1	0	1.0
hey cortana send message <contact_name>	1	0	1.0
hey cortana send message my meeting. <message>	1	0	1.0
hey cortana send message the meeting	1	0	1.0
hey cortana send message to ask you	1	0	1.0
hey cortana send message to <message>	1	1	0.0
hey cortana send message to meeting <message>	1	0	1.0
hey cortana send message to <contact_name> <message>	1	1	0.0
hey cortana send message. <contact_name> that <message>	1	0	1.0
hey cortana send my message at <time> o&apos;clock meeting that <message>	1	1	0.0
hey cortana send <contact_name> her say message	1	0	1.0
hey cortana send <contact_name> a message that <message>	1	0	1.0
hey cortana send <contact_name>	1	0	1.0
hey cortana send send a message to <contact_name>	1	0	1.0
hey cortana send text message to <contact_name>	1	0	1.0
hey cortana send to <contact_name> a message	1	0	1.0
hey cortana send <contact_name> a message saying <message>	1	0	1.0
hey cortana text <contact_name> on <meeting_title> meeting. <message>	1	1	0.0
hey cortana text <message>	1	1	0.0
hey cortana text <contact_name> <message>	1	0	1.0
hey cortana text everyone a meeting	1	0	1.0
hey cortana text everyone on the meeting <meeting_title>	1	1	0.0
hey cortana text my <time> meeting	1	0	1.0
hey cortana text my <time> meeting that <message>	1	0	1.0
hey cortana text my <time> o&apos;clock meeting	1	0	1.0
hey cortana text my meeting. <message>	1	0	1.0
hey cortana text <contact_name> that <message>	1	0	1.0
hey cortana text. <contact_name> that <message>	1	0	1.0
hey cortana type a message to <contact_name>	1	0	1.0
hey cortana&apos;s message <contact_name>	1	1	0.0
hey cortana, a message to <contact_name>	1	0	1.0
hey cortana, can you invite <contact_name> to this call	1	1	0.0
hey cortana, can you message <contact_name> <message>	1	0	1.0
hey cortana, can you please message <contact_name>	1	0	1.0
hey cortana, can you send a message	1	0	1.0
hey cortana, can you send a message to <contact_name>	1	0	1.0
hey cortana, can you set send a message to <contact_name>	1	0	1.0
hey cortana, message everyone on my <order_ref> meeting	1	0	1.0
hey cortana, message my <time> meeting that <message>	1	0	1.0
hey cortana, message my meeting that <message>	1	0	1.0
hey cortana, message my <order_ref> meeting	1	0	1.0
hey cortana, message my <order_ref> meeting that <message>	1	0	1.0
hey cortana, message <meeting_title> meeting that <message>	1	0	1.0
hey cortana, please send a message to my <order_ref> meeting	1	0	1.0
hey cortana, please send a message to the meeting	1	0	1.0
hey cortana, respond to <contact_name>	1	0	1.0
hey cortana, send a chat to <contact_name>	1	1	0.0
hey cortana, send a message for my <order_ref> meeting that <message>	1	0	1.0
hey cortana, send a message to a person	1	0	1.0
hey cortana, send a message to <contact_name> that	1	0	1.0
hey cortana, send a message to at	1	0	1.0
hey cortana, send a message to call	1	0	1.0
hey cortana, send a message to <contact_name> &apos;s	1	0	1.0
hey cortana, send a message to everyone on	1	1	0.0
hey cortana, send a message to <contact_name> at <message>	1	0	1.0
hey cortana, send a message to <contact_name> on	1	0	1.0
hey cortana, send a message to join the meeting	1	0	1.0
hey cortana, send a message to <contact_name> and <contact_name>	1	0	1.0
hey cortana, send a message to me to 1	1	1	0.0
hey cortana, send a message to <relationship_name> that <message>	1	0	1.0
hey cortana, send a message to my <time> meeting that <message>	1	0	1.0
hey cortana, send a message to my meeting with <message>	1	0	1.0
hey cortana, send a message to my <order_ref> meeting at, <message>	1	1	0.0
hey cortana, send a message to my <order_ref> meeting that <message>	1	0	1.0
hey cortana, send a message to my <order_ref> meeting, telling them that <message>	1	0	1.0
hey cortana, send a message to my <order_ref> meetings in	1	0	1.0
hey cortana, send a message to my to my meeting	1	0	1.0
hey cortana, send a message to the meeting	1	0	1.0
hey cortana, send a message to the meeting that <message>	1	0	1.0
hey cortana, send a message to you and i	1	0	1.0
hey cortana, send a text to my <time> meeting	1	0	1.0
hey cortana, send a text to my meeting that <message>	1	0	1.0
hey cortana, send a text to my meeting. <message>	1	0	1.0
hey cortana, send another message to <contact_name>	1	0	1.0
hey cortana, send message to <contact_name> that <message>	1	0	1.0
hey cortana, send message to busy	1	0	1.0
hey cortana, send message to <contact_name> <message>	1	0	1.0
hey cortana, send message to find someone that <message>	1	1	0.0
hey cortana, send message to my <time> meeting that <message>	1	0	1.0
hey cortana, send message to my <time> meeting that this is <time> meeting message	1	1	0.0
hey cortana, send message to my meeting	1	0	1.0
hey cortana, send message to my meeting. <message>	1	0	1.0
hey cortana, send message to my <order_ref> meeting at <message>	1	0	1.0
hey cortana, send message to my <order_ref> meeting that <message>	1	0	1.0
hey cortana, send message to my <order_ref> meeting, <message>	1	0	1.0
hey cortana, send message to my <order_ref> meeting	1	0	1.0
hey cortana, send messages to my <order_ref> meeting	1	1	0.0
hey cortana, send my <order_ref> meeting, <message>	1	0	1.0
hey cortana, send <contact_name> a message	1	0	1.0
hey cortana, send text to <contact_name>	1	0	1.0
hey cortana, send text to my <time> o&apos;clock meeting	1	1	0.0
hey cortana, tell <contact_name> that <message>	1	0	1.0
hey cortana, tell my <time> meeting that <message>	1	0	1.0
hey cortana, tell my meeting that <message>	1	0	1.0
hey cortana, tell my <order_ref> meeting, <message>	1	0	1.0
hey cortana, this is send message	1	0	1.0
hey cortana. find the message from <from_contact_name>	1	1	0.0
hey cortana. hey cortana message <contact_name>	1	0	1.0
hey cortana. hey cortana. send a message for me	1	0	1.0
hey cortana. hey cortana. send a message to my <time> meeting	1	0	1.0
hey cortana. hey cortana. send a message to my meeting	1	0	1.0
hey cortana. hey cortana. send message	1	0	1.0
hey cortana. hey send a message to <contact_name>	1	0	1.0
hey cortana. hi cortana. send a message to <contact_name>	1	0	1.0
hey cortana. message <contact_name>	1	0	1.0
hey cortana. send a message for me	1	0	1.0
hey cortana. send a message to meeting	1	0	1.0
hey cortana. send a message to <contact_name> that <message>	1	1	0.0
hey cortana. send a text	1	0	1.0
hey cortana. send message	1	0	1.0
hey cortana. send message to <contact_name> saying <message>	1	0	1.0
hey cortana. send message to <contact_name> saying	1	0	1.0
hey cortana. send message to <contact_name> <destination_platform>	1	0	1.0
hey cortana. send message to <order_ref> meeting	1	0	1.0
hey cortana. send message to <contact_name> that	1	1	0.0
hey cortana. send message to <meeting_title> meeting that <message>	1	1	0.0
hey cortana. send message to test to meeting	1	0	1.0
hey cortana.send message	1	0	1.0
hey cortina send a text message	1	0	1.0
hey cortina text <contact_name>	1	0	1.0
hey cortina.send a text message	1	0	1.0
hey cortona send a message to <contact_name>	1	0	1.0
hey cortona. send a message to <contact_name>	1	0	1.0
hey hey cortana send a message	1	0	1.0
hey hey cortana send my <relationship_name> send <relationship_name> a message	1	1	0.0
hey hey cortana text	1	0	1.0
hey hey, cortana, send a message	1	1	0.0
hey let&apos;s send a text message	1	0	1.0
hey send a message to all my friends saying <message>	1	0	1.0
hey send a text to <contact_name>	1	0	1.0
hey send <contact_name> a message	1	0	1.0
hey send me a message from <from_contact_name>	1	0	1.0
hey siri text <relationship_name> <message>	1	0	1.0
hey there hey cortana send a message to <contact_name>	1	0	1.0
hey, can you message <contact_name> for me	1	1	0.0
hey, cortana has send a message to my	1	1	0.0
hey, cortana, send a message	1	1	0.0
hey, cortana, send message to <contact_name>	1	1	0.0
hey+cortana message <contact_name>	1	0	1.0
hey+cortana send a message to <contact_name> <message>	1	0	1.0
hi can you tell my <relationship_name> to <message>	1	0	1.0
hi cortana can you send a text to my <relationship_name>	1	0	1.0
hi cortana can you send <contact_name> a message	1	0	1.0
hi cortana can you tell <relationship_name> that <message>	1	1	0.0
hi cortana message <relationship_name>	1	0	1.0
hi cortana messaging please	1	0	1.0
hi cortana please send a message for me	1	0	1.0
hi cortana please send a message to <contact_name>	1	0	1.0
hi cortana please send a text message	1	0	1.0
hi cortana please send message to <contact_name>	1	0	1.0
hi cortana send a <message>	1	1	0.0
hi cortana send a text to <contact_name>	1	0	1.0
hi cortana send he's a message	1	1	0.0
hi cortana send message to	1	0	1.0
hi cortana send message to a meeting	1	0	1.0
hi cortana send message to <contact_name> <relationship_name>	1	1	0.0
hi cortana send messages	1	0	1.0
hi cortana tell <contact_name>	1	0	1.0
hi cortana tell <contact_name> <message>	1	0	1.0
hi send a message back to <contact_name>	1	0	1.0
hi. and this is a test message. maybe we can try. to send that message. <message>	1	1	0.0
how do i send a message to <contact_name>	1	0	1.0
how to send a message to <contact_name> alright send a message to <contact_name>	1	1	0.0
how would like to send a text	1	0	1.0
i do i need to text <contact_name> that <message>	1	0	1.0
i don't get any phone don't get a reply i text	1	1	0.0
i like to send a text message	1	0	1.0
i like to text message	1	0	1.0
i message for <message>	1	1	0.0
i need send a message in <source_platform>	1	0	1.0
i need to message for <destination_platform>	1	0	1.0
i need to send a message in <source_platform>	1	0	1.0
i need to send a message to <relationship_name>	1	0	1.0
i need to send a text to <contact_name>	1	0	1.0
i need to text <contact_name>	1	0	1.0
i need you to send a message to <contact_name>	1	0	1.0
i need you to send <contact_name> message cortana	1	0	1.0
i need you to text <contact_name> for me	1	0	1.0
i need you to text message	1	0	1.0
i need you to text message doing	1	1	0.0
i said message tell him that <message>	1	1	0.0
i said send this message to <contact_name>	1	0	1.0
i said, you on my <order_ref> meeting that <message>	1	1	0.0
i send a message to my meeting	1	0	1.0
i send a message to <contact_name>	1	0	1.0
i send a text to <phone_number>	1	0	1.0
i think in my <order_ref> meeting send a message	1	1	0.0
i think siri send a text that <message>	1	0	1.0
i wanna message to you cortana	1	1	0.0
i wanna send a text message	1	0	1.0
i wanna send a text message to <contact_name>	1	0	1.0
i wanna send a text to my <relationship_name>	1	0	1.0
i wanna send an text message	1	0	1.0
i want i want to send a text message	1	0	1.0
i want send a text message	1	0	1.0
i want to do a text message	1	0	1.0
i want to give a text message	1	0	1.0
i want to message to <contact_name>	1	0	1.0
i want to receive a text message	1	1	0.0
i want to send a text message to	1	0	1.0
i want to send a text message to <contact_name>	1	0	1.0
i want to send a text to	1	0	1.0
i want to send it message to my <relationship_name>	1	0	1.0
i want to send message to <contact_name>	1	0	1.0
i want to send text message	1	0	1.0
i want to send what&apos;s up message	1	0	1.0
i want to sendf a text message	1	0	1.0
i want to text to	1	0	1.0
i want to text with	1	1	0.0
i want to write a message to <contact_name>	1	0	1.0
i want you text messages	1	0	1.0
i want you to take a message	1	0	1.0
i was like cortana you know i was like hey cortana send a message to <contact_name>	1	1	0.0
i would like for you to take a message	1	0	1.0
i would like to dictate text	1	0	1.0
i would like to see in august a text message	1	1	0.0
i would like to send a message to	1	0	1.0
i would like to send a text to <contact_name>	1	0	1.0
i would like to send it <message> message	1	0	1.0
i would like to text and	1	0	1.0
i would like to text my <relationship_name>	1	0	1.0
i&apos;d like to dictate a text	1	0	1.0
i&apos;d like to send a message to	1	0	1.0
i&apos;d like to send a message to everyone on the meeting	1	0	1.0
i&apos;d like to send a message to <contact_name>	1	0	1.0
i&apos;d like to send an message	1	0	1.0
i&apos;d like to send message	1	0	1.0
i&apos;d like to send <contact_name> message	1	0	1.0
i&apos;d like to text	1	0	1.0
i&apos;d say hey cortana send <contact_name> a message	1	0	1.0
i&apos;ll send a message	1	0	1.0
i&apos;ll send message to <contact_name>	1	0	1.0
<message> to my <order_ref> meeting	1	1	0.0
i&apos;m using text everyone all <order_ref> meeting. <message>	1	1	0.0
idiot i wanted to text <contact_name>	1	1	0.0
i&apos;m running late is call 9	1	1	0.0
in a message to <contact_name>	1	0	1.0
in text <contact_name>	1	1	0.0
inform <contact_name> that <message>	1	0	1.0
inform my <relationship_name> that <message>	1	0	1.0
information for can i send a text message to send <message>	1	1	0.0
<message> text <contact_name> only	1	1	0.0
instant message <contact_name> &apos;s	1	1	0.0
interview send a text	1	0	1.0
invite send a message to <contact_name>	1	0	1.0
is my meeting that <message>	1	1	0.0
is my <source_platform> contact i want to send send him a message	1	1	0.0
its <order_ref> meeting that <message>	1	1	0.0
<contact_name> message <contact_name>	1	0	1.0
just send a message to him	1	0	1.0
kaptury want you go down to send orscher and then send a message	1	1	0.0
kinda message to <contact_name> <message>	1	0	1.0
kindly send a message to <contact_name> <message>	1	0	1.0
<contact_name> text message	1	0	1.0
launch send a message to <contact_name>	1	0	1.0
leave a message for <contact_name>	1	0	1.0
leave a note to <contact_name> that <message>	1	1	0.0
let <contact_name> know that <message>	1	0	1.0
let everyone in the meeting know that <message>	1	0	1.0
let me send a message to <contact_name>	1	0	1.0
let my <time> o'clock appointment know <message>	1	1	0.0
let my <order_ref> appointment know that <message>	1	1	0.0
let the seller know that <message>	1	0	1.0
let&apos;s do a text message	1	0	1.0
let&apos;s send a message cortana	1	0	1.0
let&apos;s send a text to <contact_name>	1	0	1.0
let&apos;s text <contact_name>	1	0	1.0
let&apos;s text <message>	1	0	1.0
let&apos;s write text message	1	0	1.0
locate <contact_name> a message and tell she <message>	1	1	0.0
look cortana send message for	1	0	1.0
lumigan message cortana	1	1	0.0
m message to <contact_name>	1	0	1.0
make a message to my <relationship_name>	1	0	1.0
make a message with him	1	1	0.0
make a new message by cortana <message>	1	1	0.0
make an message	1	0	1.0
make an text	1	0	1.0
make cortana sender a him a message	1	1	0.0
make it text message	1	0	1.0
make make a message	1	0	1.0
make message <contact_name>	1	0	1.0
mb tell my <order_ref> meeting <message>	1	1	0.0
meeting but tell my <order_ref> meeting <message>	1	1	0.0
meeting that <message>	1	1	0.0
meetingbot, i'll be late	1	1	0.0
meetingbot, tell my <order_ref> meeting <message>	1	1	0.0
message - <contact_name>	1	0	1.0
message (1	1	1	0.0
message 1 of	1	1	0.0
message <time> o&apos;clock meeting	1	0	1.0
message <time>	1	0	1.0
message a message <contact_name>	1	0	1.0
message <contact_name> on my <meeting_title> meeting. <message>	1	1	0.0
message about <message>	1	0	1.0
message <contact_name> in <source_platform>	1	0	1.0
message and	1	1	0.0
message and <relationship_name>	1	0	1.0
message <contact_name> like	1	0	1.0
message aurea one on my <order_ref> meeting. <message>	1	1	0.0
message back <contact_name>	1	0	1.0
message <contact_name> <destination_platform> say <message>	1	0	1.0
message by <time> meeting. <message>	1	0	1.0
message by <time> meeting <message>	1	0	1.0
message by <time> o&apos;clock meeting that <message>	1	0	1.0
message by hey cortana	1	0	1.0
message by <order_ref> meeting that <message>	1	0	1.0
message <contact_name> at	1	0	1.0
message <contact_name> and tell him that <message>	1	0	1.0
message cortana to	1	0	1.0
message <relationship_name> that <message>	1	0	1.0
message <contact_name> for me cortana	1	0	1.0
message <contact_name> from	1	0	1.0
message ever. one on the meeting	1	1	0.0
message every one on my <order_ref> meeting <message>	1	1	0.0
message everyone	1	1	0.0
message everyone a meeting	1	0	1.0
message everyone and the meeting	1	0	1.0
message everyone <message>	1	1	0.0
message everyone in the <time> meeting saying <message>	1	0	1.0
message everyone in the <order_ref> meeting	1	0	1.0
message everyone in the <order_ref> meeting saying <message>	1	0	1.0
message everyone in the <order_ref> meeting that <message>	1	0	1.0
message everyone in the <meeting_title> meeting on my	1	1	0.0
message everyone my <order_ref> meeting <message>	1	0	1.0
message everyone my <order_ref> meeting, <message>	1	0	1.0
message everyone on a meeting	1	0	1.0
message everyone on <time> meeting	1	0	1.0
message everyone on my <time> o&apos;clock meeting	1	0	1.0
message everyone on my <time> meeting in that <message>	1	0	1.0
message <relationship_name> on my <time> meeting that <message>	1	1	0.0
message everyone on my <time> meeting with	1	0	1.0
message <quantifier> on my <time> meeting, <message>	1	1	0.0
message everyone on my <time> meeting saying <message>	1	0	1.0
message everyone on my meeting saying <message>	1	0	1.0
message everyone on my meeting that <message>	1	0	1.0
message everyone on my <order_ref> meeting saying <message>	1	0	1.0
message everyone on my <order_ref> meeting test that <message>	1	1	0.0
message everyone on my <order_ref> meeting that	1	0	1.0
message everyone on my <order_ref> meeting, but	1	1	0.0
message everyone on <meeting_title> meeting <message>	1	0	1.0
message everyone on <order_ref> meeting	1	0	1.0
message everyone on the <time> meeting saying <message>	1	0	1.0
message everyone on the <time> meeting that <message>	1	0	1.0
message everyone on the <order_ref> meeting saying <message>	1	0	1.0
message everyone on the meeting that <message>	1	0	1.0
message everyone on the <order_ref> meeting <message>	1	0	1.0
message everyone on the <order_ref> meeting message <message>	1	0	1.0
message everyone on the <order_ref> meeting message everyone in the <order_ref> meeting	1	1	0.0
message everyone under <time> meeting	1	0	1.0
message everyone will my <order_ref> meeting that <message>	1	0	1.0
message everyone with my <order_ref> meeting, <message>	1	0	1.0
message <quantifier> . then the next meeting	1	1	0.0
message for everyone. all my <order_ref> meeting. <message>	1	0	1.0
message for <relationship_name> and	1	1	0.0
message for my <relationship_name>	1	0	1.0
message from my <from_relationship_name>	1	1	0.0
message from <from_contact_name>	1	1	0.0
message gonna meetings mike	1	1	0.0
message <message> to	1	0	1.0
message her and said	1	1	0.0
message her it	1	0	1.0
message here cortana	1	0	1.0
message here on <contact_name> <message>	1	1	0.0
message hey cortana message	1	0	1.0
message him that	1	0	1.0
message him this	1	0	1.0
message i rely on my <order_ref> meeting, <message>	1	0	1.0
message <message> to <relationship_name>	1	1	0.0
message in ad	1	0	1.0
message in cooper	1	1	0.0
message in german <contact_name>	1	1	0.0
message in my <time> meeting <message>	1	0	1.0
message <contact_name> one on my <order_ref> meeting	1	1	0.0
message is <contact_name>	1	0	1.0
message <contact_name> , saying <message>	1	0	1.0
message it i	1	1	0.0
message it siri	1	1	0.0
message it to sleep	1	1	0.0
message it <contact_name>	1	1	0.0
message <contact_name> hey cortana	1	0	1.0
message <contact_name> <message> cortana <message>	1	1	0.0
message <contact_name> to	1	0	1.0
message <contact_name> that message	1	0	1.0
message ma meeting. <message>	1	0	1.0
message ma <order_ref> meeting that <message>	1	0	1.0
message ma <order_ref> meeting? <message>	1	0	1.0
message me <time> o'clock meeting	1	1	0.0
message me <time> meeting	1	1	0.0
message me at <time> o&apos;clock meeting	1	1	0.0
message mean to	1	1	0.0
message meeting at	1	0	1.0
message meeting. <message>	1	0	1.0
